support_account,total_tweets,inbound_tweets,outbound_tweets,unique_customers,conversation_count,multi_turn_conversations,multi_turn_rate,avg_conversation_length,median_conversation_length,cust_support_participating_convs,participation_rate
askvisa,873,164,709,482,473,473,1.0,2.98,2.0,473,1.0
MOO,836,206,630,484,478,478,1.0,2.98,2.0,478,1.0
KeyBank_Help,805,250,555,342,374,374,1.0,3.31,2.5,374,1.0
ask_progressive,763,151,612,554,543,543,1.0,2.6,2.0,543,1.0
AskRobinhood,572,140,432,400,353,353,1.0,2.91,2.0,353,1.0
mediatemplehelp,419,114,305,159,174,174,1.0,3.51,3.0,174,1.0
JackBox,326,60,266,242,233,233,1.0,2.55,2.0,233,1.0
OfficeSupport,325,107,218,96,113,113,1.0,4.96,4.0,113,1.0
CarlsJr,268,72,196,189,166,166,1.0,2.73,2.0,165,0.994
AskDSC,239,29,210,196,198,198,1.0,2.27,2.0,198,1.0
HotelTonightCX,190,38,152,116,123,123,1.0,2.75,2.0,123,1.0
